video_id,time,event,event_attributes
1606b0e6_0,200.2658219228331,start,
1606b0e6_0,201.15,challenge,['ball_action_forced']
1606b0e6_0,202.7658219228331,end,
1606b0e6_0,210.1241112190777,start,
1606b0e6_0,210.87,challenge,['opponent_dispossessed']
1606b0e6_0,212.62411121907763,end,
1606b0e6_0,217.85021315887616,start,
1606b0e6_0,219.23,throwin,['pass']
1606b0e6_0,220.35021315887616,end,
1606b0e6_0,223.93085035165868,start,
1606b0e6_0,224.43,play,"['pass', 'openplay']"
1606b0e6_0,226.43085035165868,end,
1606b0e6_0,228.95536736025028,start,
1606b0e6_0,229.39,play,"['pass', 'openplay']"
1606b0e6_0,231.45536736025028,end,
1606b0e6_0,236.24822669285172,start,
1606b0e6_0,236.71,play,"['pass', 'openplay']"
1606b0e6_0,239.35,play,"['pass', 'openplay']"
1606b0e6_0,240.40185058200385,end,
1606b0e6_0,241.63593256474053,start,
1606b0e6_0,242.39,play,"['pass', 'openplay']"
1606b0e6_0,244.59,play,"['pass', 'openplay']"
1606b0e6_0,246.0304528876541,end,
1606b0e6_0,246.9756757538597,start,
1606b0e6_0,248.11,play,"['pass', 'openplay']"
1606b0e6_0,249.4756757538597,end,
1606b0e6_0,250.22351428509756,start,
1606b0e6_0,250.75,play,"['pass', 'openplay']"
1606b0e6_0,253.47000000000003,play,"['pass', 'openplay']"
1606b0e6_0,253.99076129893643,end,
1606b0e6_0,254.87811980949263,start,
1606b0e6_0,256.83000000000004,play,"['pass', 'openplay']"
1606b0e6_0,257.37811980949266,end,
1606b0e6_0,258.27323494359047,start,
1606b0e6_0,258.83000000000004,play,"['pass', 'openplay']"
1606b0e6_0,261.31,play,"['pass', 'openplay']"
1606b0e6_0,263.15,play,"['pass', 'openplay']"
1606b0e6_0,265.0192830209878,end,
1606b0e6_0,265.5290206520196,start,
1606b0e6_0,266.15,play,"['pass', 'openplay']"
1606b0e6_0,268.0290206520196,end,
1606b0e6_0,268.8736511817957,start,
1606b0e6_0,269.31,play,"['pass', 'openplay']"
1606b0e6_0,272.11,play,"['cross', 'openplay']"
1606b0e6_0,273.86856955916846,end,
1606b0e6_0,275.35451491583,start,
1606b0e6_0,276.67,play,"['pass', 'openplay']"
1606b0e6_0,277.85451491583,end,
1606b0e6_0,281.416899599687,start,
1606b0e6_0,282.19,play,"['pass', 'openplay']"
1606b0e6_0,284.15000000000003,play,"['pass', 'openplay']"
1606b0e6_0,285.227198334008,end,
1606b0e6_0,289.97786573625683,start,
1606b0e6_0,290.99,play,"['pass', 'openplay']"
1606b0e6_0,294.31,play,"['pass', 'openplay']"
1606b0e6_0,294.9537005885954,end,
1606b0e6_0,295.84360270045954,start,
1606b0e6_0,296.31,play,"['pass', 'openplay']"
1606b0e6_0,298.79,play,"['pass', 'openplay']"
1606b0e6_0,300.99,challenge,['possession_retained']
1606b0e6_0,302.2705267159868,end,
1606b0e6_0,306.31106226519955,start,
1606b0e6_0,307.27,challenge,['opponent_dispossessed']
1606b0e6_0,308.81106226519955,end,
1606b0e6_0,310.44619727203815,start,
1606b0e6_0,311.23,play,"['pass', 'openplay']"
1606b0e6_0,313.23,play,"['cross', 'openplay']"
1606b0e6_0,314.67738039865986,end,
1606b0e6_0,324.5363377130767,start,
1606b0e6_0,325.67,play,"['pass', 'openplay']"
1606b0e6_0,328.83000000000004,play,"['pass', 'openplay']"
1606b0e6_0,329.26194266074185,end,
1606b0e6_0,355.179980345029,start,
1606b0e6_0,356.23,play,"['pass', 'freekick']"
1606b0e6_0,357.679980345029,end,
1606b0e6_0,360.33056272862814,start,
1606b0e6_0,361.39,play,"['cross', 'openplay']"
1606b0e6_0,362.83056272862814,end,
1606b0e6_0,394.9967735987499,start,
1606b0e6_0,395.55,challenge,['ball_action_forced']
1606b0e6_0,397.4967735987499,end,
1606b0e6_0,398.3343717334749,start,
1606b0e6_0,398.83,play,"['pass', 'openplay']"
1606b0e6_0,400.8343717334749,end,
1606b0e6_0,401.0890945084759,start,
1606b0e6_0,402.03,play,"['pass', 'openplay']"
1606b0e6_0,403.5890945084759,end,
1606b0e6_0,405.7011634309755,start,
1606b0e6_0,407.19000000000005,play,"['pass', 'openplay']"
1606b0e6_0,408.2011634309755,end,
1606b0e6_0,408.7529543214589,start,
1606b0e6_0,410.11,play,"['pass', 'openplay']"
1606b0e6_0,411.2529543214589,end,
1606b0e6_0,413.1959730330764,start,
1606b0e6_0,414.11,play,"['pass', 'openplay']"
1606b0e6_0,417.59,challenge,['opponent_dispossessed']
1606b0e6_0,418.0923833017698,end,
1606b0e6_0,418.923473401624,start,
1606b0e6_0,419.79,challenge,['opponent_dispossessed']
1606b0e6_0,421.423473401624,end,
1606b0e6_0,426.71008437835087,start,
1606b0e6_0,427.67,throwin,['pass']
1606b0e6_0,430.71,play,"['pass', 'openplay']"
1606b0e6_0,431.4676503538256,end,
1606b0e6_0,438.5891747060133,start,
1606b0e6_0,440.47,play,"['pass', 'openplay']"
1606b0e6_0,441.0891747060133,end,
1606b0e6_0,441.1728112168872,start,
1606b0e6_0,442.23,challenge,['ball_action_forced']
1606b0e6_0,443.6728112168872,end,
1606b0e6_0,444.9483083106025,start,
1606b0e6_0,446.43000000000006,play,"['pass', 'openplay']"
1606b0e6_0,447.4483083106025,end,
1606b0e6_0,451.3793345097104,start,
1606b0e6_0,452.51,play,"['pass', 'openplay']"
1606b0e6_0,454.6700000000001,play,"['pass', 'openplay']"
1606b0e6_0,456.27,play,"['pass', 'openplay']"
1606b0e6_0,458.36069907044737,end,
1606b0e6_0,472.46347617827166,start,
1606b0e6_0,474.39,throwin,['cross']
1606b0e6_0,474.96347617827166,end,
1606b0e6_0,477.0050904853613,start,
1606b0e6_0,478.75,play,"['pass', 'openplay']"
1606b0e6_0,480.83,play,"['pass', 'openplay']"
1606b0e6_0,482.55000000000007,play,"['pass', 'openplay']"
1606b0e6_0,484.33085965942826,end,
1606b0e6_0,491.8005957243177,start,
1606b0e6_0,493.47,play,"['pass', 'openplay']"
1606b0e6_0,494.3005957243177,end,
1606b0e6_0,496.5097864637138,start,
1606b0e6_0,497.23,challenge,['fouled']
1606b0e6_0,499.0097864637138,end,
1606b0e6_0,521.1602482921974,start,
1606b0e6_0,522.99,play,"['pass', 'openplay']"
1606b0e6_0,524.9100000000001,play,"['pass', 'openplay']"
1606b0e6_0,526.0136201581041,end,
1606b0e6_0,529.3657603020911,start,
1606b0e6_0,530.35,play,"['pass', 'openplay']"
1606b0e6_0,531.8657603020911,end,
1606b0e6_0,539.4449110172926,start,
1606b0e6_0,541.3100000000001,play,"['pass', 'openplay']"
1606b0e6_0,541.9449110172926,end,
1606b0e6_0,542.1041900148562,start,
1606b0e6_0,543.87,play,"['pass', 'openplay']"
1606b0e6_0,544.6041900148562,end,
1606b0e6_0,544.7272192116196,start,
1606b0e6_0,545.9100000000001,play,"['pass', 'openplay']"
1606b0e6_0,547.2272192116196,end,
1606b0e6_0,551.0393331737297,start,
1606b0e6_0,552.27,play,"['pass', 'openplay']"
1606b0e6_0,553.5393331737297,end,
1606b0e6_0,553.8431228704984,start,
